opening,entropy
e4 e5 Nf3 Nc6 Bc4 Be7 Nc3 Nf6 d4 d6,6.411164340088438
e4 e5 Nf3 Nc6 Bc4 h6 Nc3 Nf6 d4 d6,6.357762098964126
e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Be7 d4 d6,6.352621668834649
e4 e5 Nf3 Nc6 Nc3 Nf6 d4 d6 d5 Ne7,6.352382137337291
e4 e5 Nf3 Nc6 Nc3 Bc5 Bc4 Nf6 O-O d6,6.345244448827368
e4 c5 Nf3 Nc6 Bc4 e6 O-O Nf6 Nc3 d5,6.338621198857779
e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 d6 d4 Bg4,6.331805715775801
e4 e5 Nf3 Nc6 Nc3 d6 d4 exd4 Nxd4 Nf6,6.3156164779574
e4 e5 Nf3 Nc6 Nc3 Bc5 Bc4 d6 O-O Nf6,6.305298689941432
e4 c5 Nf3 Nc6 Bc4 e6 Nc3 Nf6 d4 cxd4,6.298134532506369
e4 c5 Nf3 d6 Bc4 e6 Nc3 Nf6 d4 cxd4,6.29613088839864
e4 e5 Nf3 Nc6 Nc3 Nf6 Bb5 d6 d4 a6,6.289976261064522
e4 e5 Nf3 Nc6 Bc4 Bc5 O-O Nf6 Nc3 d6,6.289702781269444
e4 e5 Nf3 Nc6 Bc4 Bc5 Nc3 Nf6 O-O d6,6.288710440552679
e4 e5 Nf3 Nc6 Bc4 Be7 O-O Nf6 Nc3 d6,6.286533406126606
e4 e5 Nf3 Nc6 Nc3 Nf6 d4 exd4 Nxd4 d6,6.285890348739931
e4 e5 Nf3 Nc6 Nc3 Nf6 Bc4 Be7 O-O d6,6.285155553878634
e4 e5 Nf3 Nc6 Bc4 Be7 O-O Nf6 d4 d6,6.283827898142001
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 Nc3 d6,6.282648266902851
e4 e5 Nf3 Nc6 Nc3 Nf6 Bc4 Bc5 O-O d6,6.280687979137354
