word,entropy
tares,4.220843963823664
tores,4.196206366559959
tears,4.170752727720525
teras,4.141220162933051
tries,4.137802449830908
torse,4.126605217727308
tires,4.126000748195273
arets,4.120902549091695
rates,4.109737435453605
rotes,4.101632518206365
soare,4.092915173587019
teals,4.080918142792972
taels,4.078873145089225
stare,4.074396673374645
caret,4.069789184281231
salet,4.064354776647436
reast,4.0623140319381035
roate,4.06220519703451
tiers,4.061830467374309
roset,4.061207028705133
tared,4.0602820235283215
tales,4.057623522396027
toeas,4.052972867226412
trace,4.046948959144048
taser,4.045381766550825
crate,4.031637993988251
lares,4.0291379037216775
toles,4.027652147804264
share,4.0211279734655365
rites,4.021127100915908
earst,4.020491259457916
tones,4.018207744777337
strae,4.017099413202111
lores,4.016242250731555
carte,4.013912476723018
toras,4.0129194729777335
cares,4.011457392664021
stire,4.009759849444794
slate,4.009285285693183
tiars,4.007329686000331
reals,4.005251124340786
trues,4.0043932586792526
cores,4.003314728915542
wares,3.995874288520311
saute,3.995743619303297
stale,3.9950462134910523
arles,3.994718673672384
lotes,3.993626631825536
teils,3.9923770351841394
leats,3.9917585585323754
reist,3.9916827809721838
taler,3.9896862550982366
terns,3.9873644125905563
stane,3.9869561218196936
trade,3.9854892313300403
laers,3.98404945240525
earls,3.983136646497231
wrate,3.9828824757467918
store,3.9826569499612328
artel,3.981439741936627
rated,3.9812720283084433
wears,3.980786670714996
sated,3.9782141958542616
toise,3.9781416048591667
sared,3.972993862150099
thrae,3.969681242118386
rheas,3.9685823137839575
rales,3.967623331622271
ratel,3.967528730158458
taros,3.967397105145183
nares,3.9673004326057004
earnt,3.9662348831104595
roles,3.9639220756786924
lears,3.96346872308341
sorel,3.961959626419589
eorls,3.961794982277734
irate,3.959331874636359
hares,3.9591271227293414
haets,3.9587790015489155
roast,3.9580680352411832
react,3.9574067964069917
tread,3.9563182001794104
least,3.956136438645015
dares,3.9533196866430957
nates,3.95296662889472
tried,3.951789776173625
tiles,3.9512147055652016
urate,3.9504915229601605
cates,3.950446499220713
hears,3.949016829496991
raise,3.9487263357775775
wries,3.9480070724479264
tarns,3.947695355356365
teins,3.9476529710278196
resat,3.946425201200457
stear,3.944220569371571
toner,3.943964542585963
taces,3.9439444636686294
trine,3.9428035005018707
soler,3.9405045055105363
shear,3.939661355971025
notes,3.937839560054705
arise,3.937468275106123
trone,3.9359482035010576
tased,3.935810798976482
aures,3.93511025505482
antes,3.934530374150169
sored,3.9343552135813513
snare,3.933970558537321
reans,3.933605978445611
neats,3.9334774746264376
alert,3.93318265440704
cries,3.931630883765829
trons,3.9309225402019083
cater,3.930498343413319
orate,3.930386791455354
later,3.930154738790732
derat,3.929746373708295
rones,3.9296283174845823
stoae,3.9294552399785863
trans,3.9294221480991722
nears,3.9288007375285687
lites,3.9282310512165437
earns,3.928207103983521
pares,3.9282036678558225
raits,3.9277582656720305
aeros,3.927620529552929
tines,3.9254660616978816
saine,3.9250627656793857
carse,3.924656872595718
prate,3.92406081681317
wires,3.9232624526614424
reais,3.923183959329112
saner,3.923119838789034
trice,3.9209908846116104
rotas,3.920921168074061
shale,3.9198252889423633
mares,3.9194285993207547
thars,3.9170094445543544
wrote,3.91690861227399
braes,3.916899838316506
heart,3.9162828818965423
dores,3.916272186250855
stole,3.9160647958336035
frate,3.9158658654001526
tired,3.9146760930756974
stile,3.9140092223402623
ronte,3.913349183896144
water,3.912627799896038
certs,3.9115558799896846
heats,3.910911202626463
bares,3.9098096011726677
grate,3.9091913462683214
pores,3.9089667905331225
gares,3.9067202851575598
worse,3.9065157865932507
coset,3.90290342841495
hoers,3.902717949920335
sient,3.9026678248413504
tails,3.902404856284555
airts,3.901612774645333
dears,3.9006155802839264
mores,3.9003327869254543
riels,3.89936448743042
corse,3.899178917843066
rhies,3.8991757339359987
peart,3.898801379062185
dates,3.895849839639009
leirs,3.8955206058848937
cotes,3.895518836435181
twaes,3.895451760958132
toile,3.8949831813794167
hates,3.8949383013869707
loser,3.8945612899206377
aster,3.894490596524693
slier,3.894234086245927
arose,3.8938991554850317
pears,3.8938329233532416
feart,3.892621963521898
tames,3.892404520823408
fears,3.8906594317937917
write,3.8888336819090576
arret,3.888602113985264
roist,3.8885076765306845
gears,3.8879979225950736
moers,3.8865552614855448
weros,3.8865075147097996
targe,3.8864873051120274
teads,3.88609168503783
alter,3.8858708556687938
trios,3.885440126918406
trois,3.8845831094641246
bears,3.8841372314345683
trape,3.884045782059536
doers,3.883459532819632
fares,3.8834167602807836
roted,3.88340945917621
slart,3.882259408508424
armet,3.8821484308817773
telos,3.8818126039325853
stone,3.881113214994504
riots,3.8805748049656748
ramet,3.8805185130794775
thale,3.879105335129502
urase,3.879013875808727
fores,3.8783726667438203
gores,3.8780825862577473
liers,3.877725656408576
orles,3.877596837653085
rotls,3.876898595271809
tease,3.8768759299166264
acres,3.876278737154333
cires,3.8761860559686716
antre,3.8749013699344967
dater,3.8743973949299413
touse,3.8739920909401158
aisle,3.873214532003948
wetas,3.8725371253811876
weirs,3.871904235672828
geats,3.8718274714033503
races,3.871524713760002
shore,3.8714408537229215
feats,3.871290997797689
sired,3.8712873619773065
sorta,3.8707888306768186
lanes,3.870253301190172
thane,3.8701079467101964
ratos,3.8690361857701667
caste,3.86896871004997
peats,3.868899926706897
reate,3.868891574503443
heast,3.868880978214692
laser,3.8685942255965746
bores,3.868117057577811
arsed,3.8680426741618072
haste,3.867352493522813
scare,3.867321033600304
mates,3.866563250140441
teres,3.86651402098606
beats,3.8664465068850786
sture,3.8663835793249377
weals,3.8661121878519764
neals,3.86576795905996
dries,3.86576253838543
heals,3.8655865376759224
ureas,3.8649075023704142
rodes,3.8643068204241864
crane,3.8634672176034464
wrest,3.8631618712914046
poets,3.8627666167365717
route,3.8623287500245187
ariel,3.8620919637506863
hires,3.861957767786398
tapes,3.8617438129268655
saree,3.861249959272482
tarre,3.8610882599050234
cites,3.8609301209447335
nerts,3.8608109684430483
sates,3.8606669168810805
shire,3.8604138995470767
carle,3.860153234477543
neist,3.8601270276254334
setae,3.8600739581863865
tawer,3.859721996914182
boets,3.8597046146861644
nites,3.859573124292991
noter,3.8592110027625965
setal,3.8586135477624492
ceros,3.8583986283415523
litre,3.8583369239277143
raile,3.8580085949239766
sears,3.857570171360222
slane,3.8575336764424555
pries,3.8570174981021887
shote,3.856421945387602
tirls,3.856406477920791
tiler,3.856015886308616
cruet,3.8559471557524776
sware,3.8558959157332966
those,3.8555885662369764
meats,3.855376027929171
shoer,3.855097983551192
aeons,3.8549205776183517
stead,3.8546431748924603
pates,3.8542218114164752
fates,3.8540168845975713
saice,3.853849030839193
seats,3.8532451378982313
tiros,3.853209154689378
goers,3.8527734746462765
sores,3.852757540843551
reins,3.85253124869495
arete,3.852528557686685
dotes,3.8523835757746023
leans,3.85177759521413
cared,3.850383841895253
riles,3.850015568171504
rents,3.8497680590834946
toges,3.849548658441062
aloes,3.8491694029139962
shier,3.849103987218245
tabes,3.8490462965902505
rohes,3.8481857735525877
tosed,3.84808777701943
crest,3.84804511644968
coate,3.8477245027198643
marse,3.8473520772650462
seare,3.846797869589231
reads,3.846644928457228
trode,3.846386660620448
great,3.8463148849784856
forte,3.8457322020521607
snore,3.8453429765030123
